Seed	Item1	Item2	Item3	Item4	Item5	Item6	Item7	Item8	Item9	Item10	Item11	Item12	Item13	Item14	Item15	Item16	Item17	Item18	Item19	Item20	Item21	Item22	Item23	Item24	Item25	ExtraInfo	EventIndex	Calcs	
0000827B	Exp. Candy L x1 	Exp. Candy XL x1 	Minior Shell x5 	Resist Feather x3 	Minior Shell x3 (C)	Ground Tera Shard x2 	Ground Tera Shard x2 (H)	Big Pearl x1 	Exp. Candy L x1 	Salty Herba Mystica x1 	Lax Mint x1 	Big Pearl x1 	Impish Mint x1 	Minior Shell x2 	Relaxed Mint x1 	Salty Herba Mystica x1 										Minior (5☆) (Star)	0	33403	
00161900	Exp. Candy L x1 	Exp. Candy XL x1 	Elekid Fur x5 	Muscle Feather x3 	Elekid Fur x3 (C)	Grass Tera Shard x2 	Grass Tera Shard x2 (H)	Brave Mint x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Lonely Mint x1 	Exp. Candy L x2 	Lonely Mint x1 	Exp. Candy L x2 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 	Brave Mint x1 									Electivire (5☆) (Star)	0	1448192	
00162698	Exp. Candy L x1 	Exp. Candy XL x1 	Beldum Claw x5 	Muscle Feather x3 	Beldum Claw x3 (C)	Ghost Tera Shard x2 	Ghost Tera Shard x2 (H)	Exp. Candy L x1 	Lonely Mint x1 	Adamant Mint x1 	Ability Capsule x1 	Naughty Mint x1 	Beldum Claw x2 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 	Adamant Mint x1 										Metagross (5☆) (Star)	0	1451672	
0017DE74	Exp. Candy L x1 	Exp. Candy XL x1 	Lapras Teardrop x5 	Health Feather x3 	Lapras Teardrop x3 (C)	Dragon Tera Shard x2 	Dragon Tera Shard x2 (H)	PP Up x1 	Exp. Candy L x1 	Exp. Candy L x1 	Salty Herba Mystica x1 	Big Mushroom x1 	Spicy Herba Mystica x1 	Exp. Candy L x2 	Exp. Candy L x1 	Exp. Candy L x1 										Lapras (5☆) (Star)	0	1564276	
00204588	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Poison Tera Shard x2 	Poison Tera Shard x2 (H)	Sweet Herba Mystica x1 	Big Mushroom x1 	Poison Tera Shard x1 	Exp. Candy L x1 	Sour Herba Mystica x1 	Exp. Candy L x2 	Poison Tera Shard x1 	Pomeg Berry x3 	Big Mushroom x1 	Pomeg Berry x3 									Malamar (5☆) (Star)	0	2114952	
002C850D	Exp. Candy L x1 	Exp. Candy XL x1 	Duraludon Tarnish x5 	Genius Feather x3 	Duraludon Tarnish x3 (C)	Steel Tera Shard x2 	Steel Tera Shard x2 (H)	Bitter Herba Mystica x1 	Genius Feather x2 	Genius Feather x2 	Rare Candy x1 	Rash Mint x1 	Modest Mint x1 	Exp. Candy L x1 	Bitter Herba Mystica x1 	Exp. Candy L x1 										Duraludon (5☆) (Star)	0	2917645	
002E0297	Exp. Candy L x1 	Exp. Candy XL x1 	Lapras Teardrop x5 	Health Feather x3 	Lapras Teardrop x3 (C)	Dark Tera Shard x2 	Dark Tera Shard x2 (H)	Salty Herba Mystica x1 	Sweet Herba Mystica x1 	PP Up x1 	Exp. Candy L x1 	Nugget x1 	Dark Tera Shard x1 	Sweet Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x1 										Lapras (5☆) (Star)	0	3015319	
00351972	Exp. Candy L x1 	Exp. Candy XL x1 	Horsea Ink x5 	Health Feather x3 	Horsea Ink x3 (C)	Psychic Tera Shard x2 	Psychic Tera Shard x2 (H)	Sour Herba Mystica x1 	Exp. Candy L x1 	Big Mushroom x1 	Salty Herba Mystica x1 	Horsea Ink x2 	Spicy Herba Mystica x1 	PP Up x1 	Big Mushroom x1 	Big Mushroom x1 										Kingdra (5☆) (Star)	0	3479922	
0036CA88	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Poison Tera Shard x2 	Poison Tera Shard x2 (H)	Health Feather x2 	Exp. Candy L x1 	Big Mushroom x1 	Nugget x1 	Exp. Candy L x2 	Spicy Herba Mystica x1 	Bitter Herba Mystica x1 	Poison Tera Shard x1 	Exp. Candy L x1 	Health Feather x2 									Malamar (5☆) (Star)	0	3590792	
0039FD85	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Normal Tera Shard x2 	Normal Tera Shard x2 (H)	Exp. Candy L x1 	Big Mushroom x1 	Big Mushroom x1 	Pomeg Berry x3 	Sweet Herba Mystica x1 	Big Mushroom x1 	Spicy Herba Mystica x1 	Normal Tera Shard x1 	Exp. Candy L x1 	Health Feather x2 									Malamar (5☆) (Star)	0	3800453	
