Seed	Item1	Item2	Item3	Item4	Item5	Item6	Item7	Item8	Item9	Item10	Item11	Item12	Item13	Item14	Item15	Item16	Item17	Item18	Item19	Item20	Item21	Item22	Item23	Item24	Item25	ExtraInfo	EventIndex	Calcs	
000A610B	Exp. Candy L x1 	Exp. Candy XL x1 	Basculin Fang x5 	Health Feather x3 	Basculin Fang x3 (C)	Bug Tera Shard x2 	Bug Tera Shard x2 (H)	Big Mushroom x1 	Bottle Cap x1 	Health Feather x2 	Health Feather x2 	Spicy Herba Mystica x1 	Big Mushroom x1 	Sour Herba Mystica x1 	Salty Herba Mystica x1 	Bottle Cap x1 	Salty Herba Mystica x1 									Basculegion (5☆) (Star)	0	680203	
000C5500	Exp. Candy L x1 	Exp. Candy XL x1 	Duskull Fragment x5 	Health Feather x3 	Duskull Fragment x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Sweet Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x1 	Rare Candy x1 	Sweet Herba Mystica x1 	Health Feather x2 	Salty Herba Mystica x1 	Exp. Candy L x2 	Pomeg Berry x3 	Pomeg Berry x3 									Dusknoir (5☆) (Star)	0	808192	
00161900	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Grass Tera Shard x2 	Grass Tera Shard x2 (H)	Sour Herba Mystica x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Salty Herba Mystica x1 	Exp. Candy L x2 	Salty Herba Mystica x1 	Exp. Candy L x2 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 	Sour Herba Mystica x1 									Snorlax (5☆) (Star)	0	1448192	
00162698	Exp. Candy L x1 	Exp. Candy XL x1 	Duskull Fragment x5 	Health Feather x3 	Duskull Fragment x3 (C)	Ghost Tera Shard x2 	Ghost Tera Shard x2 (H)	Exp. Candy L x1 	Salty Herba Mystica x1 	Sweet Herba Mystica x1 	Ability Capsule x1 	Bitter Herba Mystica x1 	Duskull Fragment x2 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 	Sweet Herba Mystica x1 										Dusknoir (5☆) (Star)	0	1451672	
00209480	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Psychic Tera Shard x2 	Psychic Tera Shard x2 (H)	Rare Candy x1 	Rare Candy x1 	Exp. Candy L x1 	Sour Herba Mystica x1 	Exp. Candy L x2 	Big Mushroom x1 	Spicy Herba Mystica x1 	Big Mushroom x1 	Big Mushroom x1 	Bitter Herba Mystica x1 									Snorlax (5☆) (Star)	0	2135168	
0043EDFE	Exp. Candy L x1 	Exp. Candy XL x1 	Vullaby Feather x5 	Health Feather x3 	Vullaby Feather x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Spicy Herba Mystica x1 	Big Mushroom x1 	Exp. Candy L x1 	Pomeg Berry x3 	Salty Herba Mystica x1 	Exp. Candy L x1 	Bitter Herba Mystica x1 	Pomeg Berry x3 	Exp. Candy L x1 										Mandibuzz (5☆) (Star)	0	4451838	
0048767A	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Rock Tera Shard x2 	Rock Tera Shard x2 (H)	Exp. Candy L x2 	Sour Herba Mystica x1 	Rare Candy x1 	Nugget x1 	Big Mushroom x1 	Sour Herba Mystica x1 	Sweet Herba Mystica x1 	Exp. Candy L x1 	Big Mushroom x1 										Snorlax (5☆) (Star)	0	4748922	
0061C811	Exp. Candy L x1 	Exp. Candy XL x1 	Poltchageist Powder x5 	Genius Feather x3 	Poltchageist Powder x3 (C)	Electric Tera Shard x2 	Electric Tera Shard x2 (H)	Ability Capsule x1 	Hondew Berry x3 	Bitter Herba Mystica x1 	Bitter Herba Mystica x1 	Star Piece x1 	Exp. Candy L x2 	Rash Mint x1 	Bitter Herba Mystica x1 	Rash Mint x1 										Sinistcha (5☆) (Star)	0	6408209	
00699E8E	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Sour Herba Mystica x1 	Health Feather x2 	Bitter Herba Mystica x1 	Big Mushroom x1 	Health Feather x2 	Exp. Candy L x1 	Exp. Candy L x2 	Exp. Candy L x1 	Sour Herba Mystica x1 	Ability Capsule x1 									Snorlax (5☆) (Star)	0	6921870	
006ECDEE	Exp. Candy L x1 	Exp. Candy XL x1 	Vullaby Feather x5 	Health Feather x3 	Vullaby Feather x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Big Mushroom x1 	Sweet Herba Mystica x1 	Sweet Herba Mystica x1 	Bitter Herba Mystica x1 	PP Up x1 	Pomeg Berry x3 	Big Mushroom x1 	Pomeg Berry x3 	Nugget x1 										Mandibuzz (5☆) (Star)	0	7261678	
