Seed	Item1	Item2	Item3	Item4	Item5	Item6	Item7	Item8	Item9	Item10	Item11	Item12	Item13	Item14	Item15	Item16	Item17	Item18	Item19	Item20	Item21	Item22	Item23	Item24	Item25	ExtraInfo	EventIndex	Calcs	
0000827B	Exp. Candy L x1 	Exp. Candy XL x1 	Pincurchin Spines x5 	Genius Feather x3 	Pincurchin Spines x3 (C)	Ground Tera Shard x2 	Ground Tera Shard x2 (H)	Star Piece x1 	Exp. Candy L x1 	Bitter Herba Mystica x1 	Rash Mint x1 	Star Piece x1 	Mild Mint x1 	Pincurchin Spines x2 	Quiet Mint x1 	Bitter Herba Mystica x1 										Pincurchin (5☆) (Star)	0	33403	
00161900	Exp. Candy L x1 	Exp. Candy XL x1 	Passimian Fur x5 	Muscle Feather x3 	Passimian Fur x3 (C)	Grass Tera Shard x2 	Grass Tera Shard x2 (H)	Brave Mint x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Lonely Mint x1 	Exp. Candy L x2 	Lonely Mint x1 	Exp. Candy L x2 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 	Brave Mint x1 									Passimian (5☆) (Star)	0	1448192	
00162698	Exp. Candy L x1 	Exp. Candy XL x1 	Delibird Parcel x5 	Swift Feather x3 	Delibird Parcel x3 (C)	Ghost Tera Shard x2 	Ghost Tera Shard x2 (H)	Exp. Candy L x1 	Naive Mint x1 	Jolly Mint x1 	Delibird Parcel x2 	Hasty Mint x1 	Delibird Parcel x2 	Sweet Herba Mystica x1 	Sweet Herba Mystica x1 	Jolly Mint x1 										Delibird (5☆) (Star)	0	1451672	
0022FD6F	Exp. Candy L x1 	Exp. Candy XL x1 	Happiny Dust x5 	Health Feather x3 	Happiny Dust x3 (C)	Water Tera Shard x2 	Water Tera Shard x2 (H)	Exp. Candy L x1 	PP Up x1 	Sweet Herba Mystica x1 	Bitter Herba Mystica x1 	Exp. Candy L x2 	Sweet Herba Mystica x1 	Pomeg Berry x3 	Exp. Candy L x1 	Big Mushroom x1 										Blissey (5☆) (Star)	0	2293103	
002C850D	Exp. Candy L x1 	Exp. Candy XL x1 	Pawmi Fur x5 	Swift Feather x3 	Pawmi Fur x3 (C)	Steel Tera Shard x2 	Steel Tera Shard x2 (H)	Sweet Herba Mystica x1 	Swift Feather x2 	Swift Feather x2 	Rare Candy x1 	Hasty Mint x1 	Jolly Mint x1 	Exp. Candy L x1 	Sweet Herba Mystica x1 	Exp. Candy L x1 										Pawmot (5☆) (Star)	0	2917645	
002D176E	Exp. Candy L x1 	Exp. Candy XL x1 	Tynamo Slime x5 	Health Feather x3 	Tynamo Slime x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Health Feather x2 	Salty Herba Mystica x1 	Exp. Candy L x2 	Health Feather x2 	Health Feather x2 	Sour Herba Mystica x1 	Exp. Candy L x2 	Exp. Candy L x1 	Exp. Candy L x2 										Eelektross (5☆) (Star)	0	2955118	
00310B06	Exp. Candy L x1 	Exp. Candy XL x1 	Foongus Spores x5 	Health Feather x3 	Foongus Spores x3 (C)	Fighting Tera Shard x2 	Fighting Tera Shard x2 (H)	Health Feather x2 	Exp. Candy L x1 	Big Mushroom x1 	Exp. Candy L x2 	Exp. Candy L x2 	Rare Candy x1 	Bitter Herba Mystica x1 	Sour Herba Mystica x1 	Big Mushroom x1 	Fighting Tera Shard x1 									Amoonguss (5☆) (Star)	0	3214086	
003B2D05	Exp. Candy L x1 	Exp. Candy XL x1 	Cetoddle Grease x5 	Health Feather x3 	Cetoddle Grease x3 (C)	Normal Tera Shard x2 	Normal Tera Shard x2 (H)	Bottle Cap x1 	Nugget x1 	Spicy Herba Mystica x1 	Sour Herba Mystica x1 	Exp. Candy L x1 	Ability Capsule x1 	Cetoddle Grease x2 	Normal Tera Shard x1 	Health Feather x2 	Bitter Herba Mystica x1 									Cetitan (5☆) (Star)	0	3878149	
003B3F15	Exp. Candy L x1 	Exp. Candy XL x1 	Cetoddle Grease x5 	Health Feather x3 	Cetoddle Grease x3 (C)	Dark Tera Shard x2 	Dark Tera Shard x2 (H)	Nugget x1 	Bitter Herba Mystica x1 	Exp. Candy L x2 	Dark Tera Shard x1 	Dark Tera Shard x1 	Spicy Herba Mystica x1 	Nugget x1 	Balm Mushroom x1 	Cetoddle Grease x2 										Cetitan (5☆) (Star)	0	3882773	
003FCB7E	Exp. Candy L x1 	Exp. Candy XL x1 	Foongus Spores x5 	Health Feather x3 	Foongus Spores x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Health Feather x2 	Exp. Candy L x1 	Bottle Cap x1 	Exp. Candy L x1 	Exp. Candy L x2 	PP Up x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Bitter Herba Mystica x1 										Amoonguss (5☆) (Star)	0	4180862	
